13:15:36 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
13:15:36 | 🩸 EARNINGS-FALL AAA -9.0% | largo
13:15:36 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
14:34:01 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
14:34:01 | 🩸 EARNINGS-FALL AAA -9.0% | largo
14:34:01 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
14:39:23 | 🕳 CINTA CIEGA | CINTA CIEGA: 3 de la flota sin tape tick-by-tick (AAPL AMD TSM) — sus ballenas NO se ven, no es que no haya
21:45:19 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
21:45:19 | 🩸 EARNINGS-FALL AAA -9.0% | largo
21:45:19 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
21:50:39 | 🕳 CINTA CIEGA | CINTA CIEGA: 3 de la flota sin tape tick-by-tick (AAPL AMD TSM) — sus ballenas NO se ven, no es que no haya
21:51:22 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
21:51:22 | 🩸 EARNINGS-FALL AAA -9.0% | largo
21:51:22 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
21:51:38 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
21:51:38 | 🩸 EARNINGS-FALL AAA -9.0% | largo
21:51:38 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
21:56:53 | 🕳 CINTA CIEGA | CINTA CIEGA: 3 de la flota sin tape tick-by-tick (AAPL AMD TSM) — sus ballenas NO se ven, no es que no haya
