08:52:51 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
08:52:51 | 🩸 EARNINGS-FALL AAA -9.0% | largo
08:52:51 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
09:00:18 | 🕳 CINTA CIEGA | CINTA CIEGA: 3 de la flota sin tape tick-by-tick (AAPL AMD TSM) — sus ballenas NO se ven, no es que no haya
09:05:15 | TEST | deploy /data ok
09:07:29 | TEST | deploy /data ok
09:07:56 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
09:07:56 | 🩸 EARNINGS-FALL AAA -9.0% | largo
09:07:56 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
09:10:16 | TEST | deploy /data ok
09:14:49 | 🕳 CINTA CIEGA | CINTA CIEGA: 3 de la flota sin tape tick-by-tick (AAPL AMD TSM) — sus ballenas NO se ven, no es que no haya
09:15:29 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
09:15:29 | 🩸 EARNINGS-FALL AAA -9.0% | largo
09:15:29 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
09:22:29 | 🕳 CINTA CIEGA | CINTA CIEGA: 3 de la flota sin tape tick-by-tick (AAPL AMD TSM) — sus ballenas NO se ven, no es que no haya
09:23:09 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
09:23:09 | 🩸 EARNINGS-FALL AAA -9.0% | largo
09:23:09 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
09:23:42 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
09:23:42 | 🩸 EARNINGS-FALL AAA -9.0% | largo
09:23:42 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
09:25:30 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
09:25:30 | 🩸 EARNINGS-FALL AAA -9.0% | largo
09:25:30 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
09:29:24 | 🩸 EARNINGS-FALL ROTO | export Finviz caido
09:29:24 | 🩸 EARNINGS-FALL AAA -9.0% | largo
09:29:24 | 🩸 EARNINGS-FALL TGTX -8.0% | linea tecnica larga con score 68
09:36:25 | 🕳 CINTA CIEGA | CINTA CIEGA: 3 de la flota sin tape tick-by-tick (AAPL AMD TSM) — sus ballenas NO se ven, no es que no haya
