03:14:00 | EWY TERREMOTO ALZA | CUSUM: subiendo fuerte +5.89% px 175.70
03:44:41 | QQQ ALARMA PRECIO | QQQ toco 700.00 (regla: qqq 700 down         CRITICO: flip+put wall QQQ rotos     jaula rota abajo, ahi SI es caida) px=699.9900
07:38:41 | SPY ALARMA PRECIO | SPY toco 743.00 (regla: spy 743 down         CRITICO: flip SPY roto     regimen indice voltea, puts aceleran) px=742.9800
08:34:00 | ASML TERREMOTO CAIDA | CUSUM: cayendo fuerte -2.22% px 1783.00
09:26:17 | NVDA ALARMA PRECIO | NVDA toco 208.40 (regla: nvda 208.40 down        RECHAZO del muro impreso     put 208 hoy (  1.20, spread 4% OK), target 208.0, stop si reclama 209.6) px=208.3900
09:30:36 | 🛰 FINVIZ | AMZN: gap -3.5% — abre fuera de rango
09:30:36 | 🛰 FINVIZ | META: gap -3.0% — abre fuera de rango
09:31:01 | 🐋 BALLENA PUTS | SPY: flujo puts 3.2 a 1 (11,180 puts vs 3,519 calls) — piso o tesis bajista
09:31:28 | 🐋 BALLENA PUTS | TSLA: flujo puts 4.3 a 1 (12,109 puts vs 2,849 calls) — piso o tesis bajista
09:38:00 | ASML: BUY | ASML @ 1802.16 | prob 65% | estructura-rota-arriba+recupera-BB15mid+MACD15-verde+ST5-alineado+sobre-VWAP | fase=UNKNOWN
09:38:00 | SMH: BUY | SMH @ 583.95 | prob 55% | estructura-rota-arriba+recupera-BB15mid+MACD15-verde+ST5-alineado+sobre-VWAP | fase=UNKNOWN
09:38:13 | 🐋 BALLENA CALLS | MSFT: flujo calls masivo, P C 0.35 (8,843 calls) — iman y techo local, ley 13: no perseguir, esperar pullback
09:38:27 | 🐋📈 BALLENA CRECE | TSLA: el flujo de puts se DUPLICO — 47,495 contratos (P C 2.64). La marea sigue entrando
09:38:58 | 🐋 BALLENA PUTS | GLD: flujo puts 2.8 a 1 (3,513 puts vs 1,244 calls) — piso o tesis bajista
09:44:33 | 🐋 BALLENA CALLS | MU: flujo calls masivo, P C 0.18 (14,404 calls) — iman y techo local, ley 13: no perseguir, esperar pullback
09:51:22 | 🐋 BALLENA PUTS | SMH: flujo puts 2.1 a 1 (2,587 puts vs 1,226 calls) — piso o tesis bajista
09:51:33 | 🐋 BALLENA PUTS | AAPL: flujo puts 2.8 a 1 (45,082 puts vs 15,835 calls) — piso o tesis bajista
09:51:37 | 🐋📈 BALLENA CRECE | MSFT: el flujo de calls se DUPLICO — 22,417 contratos (P C 0.24). La marea sigue entrando
09:51:49 | 🐋📈 BALLENA CRECE | TSLA: el flujo de puts se DUPLICO — 105,450 contratos (P C 2.12). La marea sigue entrando
09:51:53 | 🐋 BALLENA CALLS | AVGO: flujo calls masivo, P C 0.32 (6,332 calls) — iman y techo local, ley 13: no perseguir, esperar pullback
10:10:57 | 🐋📈 BALLENA CRECE | MU: el flujo de calls se DUPLICO — 29,241 contratos (P C 0.36). La marea sigue entrando
10:11:04 | 🐋 BALLENA CALLS | TSM: flujo calls masivo, P C 0.32 (3,466 calls) — iman y techo local, ley 13: no perseguir, esperar pullback
10:18:08 | 🐋📈 BALLENA CRECE | TSLA: el flujo de puts se DUPLICO — 211,862 contratos (P C 2.86). La marea sigue entrando
10:21:37 | 🛰 FINVIZ | META: recom 1.29→1.28 (mejora)
10:50:46 | 🐋 BALLENA PUTS | MSFT: flujo puts 2.5 a 1 (50,826 puts vs 20,517 calls) — piso o tesis bajista
11:03:38 | 🐋📈 BALLENA CRECE | SMH: el flujo de puts se DUPLICO — 5,257 contratos (P C 2.78). La marea sigue entrando
11:23:31 | 🐋 BALLENA PUTS | QQQ: flujo puts 2.1 a 1 (146,516 puts vs 71,255 calls) — piso o tesis bajista
11:23:47 | 💰 SCALPER VERDE | net +170c — cooldown 120s
11:36:42 | 🐋 BALLENA PUTS | SPY: flujo puts 2.5 a 1 (295,688 puts vs 120,332 calls) — piso o tesis bajista
11:56:58 | 🐋 BALLENA PUTS | QCOM: flujo puts 6.3 a 1 (3,144 puts vs 497 calls) — piso o tesis bajista
11:57:02 | 🐋 BALLENA CALLS | NFLX: flujo calls masivo, P C 0.35 (36,891 calls) — iman y techo local, ley 13: no perseguir, esperar pullback
12:31:30 | 🌊 FLOW PULSE v4 | Pulso de flujo v4 arriba: spikes 3x con veto band-walk, muros OI, manada y jerarquia de capitanes SPY QQQ SMH. Probabilidades vivas: puts 88, calls 60
12:31:30 | 🎈 BOLLINGER VIGIA | Vigia Bollinger intradia arriba: toda la flota, rebotes y band-walks
12:32:00 | 🎈 BB BAND-WALK [MUTED p<55] | MU camina la banda ARRIBA tambien en 5 minutos (1001.47). Continuacion probable — NO hacer fade. prob medida 44 por ciento (n=16). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:32:00 | 🎈 BB BAND-WALK | META camina la banda ARRIBA tambien en 5 minutos (605.13). Continuacion probable — NO hacer fade. prob medida 56 por ciento (n=16). OPCIONES VETADAS spread 9% — usar ACCIONES o ETF apalancado
12:32:00 | 🎈 BB 15m RE-ENTRADA [MUTED p<55] | SNDK reventó la banda 15 minutos ARRIBA y re-entró en 1680.26 — elastico mayor, digestion probable. prob medida 14 por ciento (n=7). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:33:00 | 🎈 BB BAND-WALK [MUTED p<55] | AAPL camina la banda ABAJO tambien en 5 minutos (320.29). Continuacion probable — NO hacer fade. prob medida 20 por ciento (n=15). OPCIONES OK (spread 2%)
